,0
544,1973822.878643634
545,2021708.1869936339
546,2004647.667198634
547,1999333.8791161338
548,2017836.4430761344
549,2006301.488681134
550,1969509.5460011342
551,1984928.631541134
552,1986874.894001134
553,1967364.0571711338
554,1932116.6473111338
555,1965084.5779936342
556,1979207.1250017642
557,2011296.972932385
558,2009418.6118558238
559,2017506.1298212556
560,2036475.8615312562
561,2047123.7989212559
562,2047204.9365080413
563,2057507.8293081843
564,2073898.2787911461
565,2068975.9743925745
566,2082984.6595029312
567,2089454.5323357885
568,2086119.1051129312
569,2084518.5730472167
570,2071271.9881922172
571,2072771.346472217
572,2068072.790112217
573,2046261.975292217
574,2055837.892192217
575,2056818.2137836458
576,2062458.939565074
577,2031684.2506600744
578,2049150.501410074
579,2088985.4708800747
580,2086437.309760074
581,2083609.577410074
582,2106267.416630074
583,2124488.082080074
584,2132449.3164000744
585,2159508.1507900744
586,2157251.770460075
587,2150900.5116100744
588,2131550.316100074
589,2109868.100017574
590,2122817.3542100745
591,2138453.5601075743
592,2150357.1932875747
593,2119805.6798475743
594,2119615.2509375745
595,2104124.0287409076
596,2107824.4197880365
597,2084865.7254704786
598,2117599.4061732343
599,2134863.5748732346
600,2119187.5110007348
601,2100700.5411107345
602,2096793.740335734
603,2109763.608175734
604,2116527.686615735
605,2116123.2793957344
606,2129821.781500735
607,2076408.7899707344
608,2079912.8040607343
609,2063832.3701607345
610,2050511.0947757345
611,2054678.6390832346
612,2038719.3875232344
613,2051498.1312332342
614,2017615.7813932344
615,2014092.9493432343
616,2040306.8624707342
617,2011409.8638707346
618,2025635.163543234
619,2035731.8931282342
620,2057531.7955657342
621,2088071.7157207339
622,2078072.4156157346
623,2068572.9117057347
624,2049318.8214857343
625,2071586.592915734
626,2118644.3467332344
627,2127333.5476232343
628,2155525.4382807347
629,2189863.4226307343
630,2187275.5728007345
631,2203970.9112507347
632,2224742.3224332347
633,2208002.924948234
634,2182302.1804682347
635,2171127.8919682344
636,2181145.500578234
637,2177221.038828234
638,2191500.7758082347
639,2175329.4550882345
640,2202004.718178234
641,2208550.0149832345
642,2227998.7292332347
643,2200533.037333234
644,2195089.824573234
645,2188471.3570732344
646,2141659.906423234
647,2122596.706393235
648,2105737.1944432342
649,2117884.4853442344
650,2064476.8654392345
651,2064953.1302192344
652,1981214.2235692344
653,2004190.4136992344
654,1874470.5077692342
655,1972431.4645892344
656,1893693.5341792346
657,1966400.7355992342
658,1986305.3913042343
659,2012353.8680667342
660,1988257.6518367343
661,1992793.9415217342
662,1924730.0443742343
663,1916006.9004442345
664,1922451.3988642346
665,1982404.3858742341
666,2016901.413296734
667,1983453.1409867343
668,2013968.8251917344
669,2047823.0489617344
670,2060136.0526117343
671,2072667.8471142345
672,2048914.179959234
673,2006168.3672017343
674,2000363.9973217342
675,2045283.208231734
676,2021367.8975417342
677,1943678.0533717342
